dataset,item,value
data1,beta_mean,2.383206666666667
data1,uA_beta,0.006302661695224
data1,beta_prime_mean,-0.410913333333333
data1,uA_beta_prime,0.004392274025048
data1,I,0.002198813937841
data1,uI,0.000006045425839

data2,beta_mean,0.625395
data2,uA_beta,0.002260947810101
data2,beta_prime_mean,-0.115173333333333
data2,uA_beta_prime,0.001917826315853
data2,I,0.008295993392462
data2,uI,0.000033212095932

,Ix,0.006097179454621
,uIx,0.000033757821164
,I_theory,0.0061147125
,uI_theory,0.000012804709978

data3,inv_t2_with_disk,0.011854398048701; 0.016573106827109; 0.021861637877945; 0.026388632648302; 0.0310888120389; 0.036337913336192; 0.040813811050497; 0.046329784987763
data3,fit_with_disk,m = 1.022356883204408*(1/t^2) + 0.002947739561606
data3,I_with_disk,0.004442972999705
data3,inv_t2_without_disk,0.030033311065545; 0.043495155882074; 0.055980690804244; 0.069175599194769; 0.074765729958935; 0.092588949388895; 0.103012216376349; 0.117242637242985
data3,fit_without_disk,m = 0.408387381778225*(1/t^2) + 0.002570601248823
data3,I_without_disk,0.001774775658549

,I_disk_exp,0.002668197341156
,I_disk_theory,0.0033552
,uI_disk_theory,0.000007286344664
,theta_rad,28.274333882308138
,omega0,0
